180.241.46.213 - - "2023-05-25 04:21:04" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/10 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50"
66.249.79.115 bot - "2023-05-25 04:22:02" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
40.77.167.139 bot - "2023-05-25 04:23:08" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/70 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
66.249.79.22 bot - "2023-05-25 04:44:59" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 04:48:37" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.20 bot - "2023-05-25 04:57:13" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 04:57:40" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/27/44/212 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/113.0.5672.92 Safari/537.36"
66.249.79.22 bot - "2023-05-25 04:59:39" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-05-25 04:59:47" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:03:31" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/46/15/182 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.117 bot - "2023-05-25 05:04:01" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-05-25 05:06:31" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.20 bot - "2023-05-25 05:08:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.24 bot - "2023-05-25 05:10:08" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.20 bot - "2023-05-25 05:11:38" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.22 bot - "2023-05-25 05:13:20" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/issue/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:17:36" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/80/56/224 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.20 bot - "2023-05-25 05:20:02" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:21:29" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.20 bot - "2023-05-25 05:22:11" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:25:08" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-05-25 05:25:41" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-05-25 05:25:52" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/issue/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.22 bot - "2023-05-25 05:26:30" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:31:30" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.115 bot - "2023-05-25 05:34:15" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
140.0.224.188 - - "2023-05-25 05:35:03" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/83 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
140.0.224.188 - - "2023-05-25 05:36:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/83/59/227 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
66.249.79.115 bot - "2023-05-25 06:16:28" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/27/44/212 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
114.142.168.59 - - "2023-05-25 06:33:34" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/82/58/226 200 "Mozilla/5.0 (Linux; U; Android 12; id-id; POCO M4 Pro Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/89.0.4389.116 Mobile Safari/537.36 XiaoMi/MiuiBrowser/13.6.0-gn"
114.142.168.59 - - "2023-05-25 06:33:35" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/82/58/226 200 "Dalvik/2.1.0 (Linux; U; Android 12; 2201117PG Build/SP1A.210812.016)"
199.47.82.18 - - "2023-05-25 07:54:00" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/57 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:01" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/59 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:02" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/60 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:02" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/61 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:03" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/62 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:06" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/58 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:07" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/14 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:07" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/71 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:08" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/72 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:09" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/73 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:10" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/74 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:11" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/75 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:12" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/76 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:13" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:13" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/issue/view/17 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:14" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/70 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:16" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/78 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:17" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/79 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:18" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/80 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:19" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/81 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:20" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:20" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/issue/view/3 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:21" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/49 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:22" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/50 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:23" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/51 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:24" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/52 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:25" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/77 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:25" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/53 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:26" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/55 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:27" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:31" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:33" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/issue/view/13 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.18 - - "2023-05-25 07:54:36" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Turnitin (https://bit.ly/2UvnfoQ)"
40.77.167.115 bot - "2023-05-25 08:04:18" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/31 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
114.124.161.172 - - "2023-05-25 08:13:08" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36"
36.73.32.56 - - "2023-05-25 09:00:00" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/33/4/161 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
40.77.188.97 bot - "2023-05-25 09:07:05" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/8/10/177 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/112.0.0.0 Safari/537.36"
